user_id,session_id,event_date,event_type,product_id,device_type,traffic_source,country
2008,U2008_S1,2024-01-02 09:49:43,signup,,Tablet,Referral,France
2793,U2793_S1,2024-01-02 10:01:25,signup,,Tablet,Paid Search,Canada
3844,U3844_S1,2024-01-02 11:03:31,signup,,Mobile,Email,Canada
8359,U8359_S1,2024-01-02 11:45:52,signup,,Mobile,Organic Search,Germany
6852,U6852_S1,2024-01-02 12:06:25,signup,,Mobile,Referral,Australia
60,U60_S1,2024-01-02 12:54:09,signup,,Desktop,Paid Search,France
2008,U2008_S2,2024-01-02 13:13:43,add_to_cart,P0028,Tablet,Referral,France
1921,U1921_S2,2024-01-02 13:15:40,product_view,P0044,Mobile,Social,Germany
952,U952_S1,2024-01-02 13:15:42,signup,,Tablet,Social,France
6852,U6852_S2,2024-01-02 14:04:25,product_view,P0082,Mobile,Referral,Australia
4497,U4497_S1,2024-01-02 14:17:45,signup,,Mobile,Social,Canada
2749,U2749_S2,2024-01-02 14:21:33,product_view,P0030,Desktop,Referral,Germany
1178,U1178_S1,2024-01-02 15:08:49,signup,,Tablet,Email,France
7027,U7027_S1,2024-01-02 15:38:26,signup,,Mobile,Organic Search,United Kingdom
6986,U6986_S1,2024-01-02 16:00:16,signup,,Desktop,Organic Search,United Kingdom
1157,U1157_S1,2024-01-02 16:33:36,signup,,Mobile,Referral,United States
5397,U5397_S1,2024-01-02 17:16:56,signup,,Tablet,Referral,United Kingdom
4854,U4854_S1,2024-01-02 18:56:32,signup,,Tablet,Referral,United States
7,U7_S1,2024-01-02 19:56:46,signup,,Desktop,Paid Search,Germany
1157,U1157_S2,2024-01-02 20:49:36,product_view,P0016,Mobile,Referral,United States
2265,U2265_S1,2024-01-02 21:49:36,signup,,Desktop,Paid Search,Australia
3313,U3313_S3,2024-01-02 22:25:09,add_to_cart,P0083,Tablet,Social,United Kingdom
1157,U1157_S3,2024-01-02 22:26:36,add_to_cart,P0110,Mobile,Referral,United States
3037,U3037_S2,2024-01-02 22:52:05,product_view,P0060,Mobile,Social,Australia
3353,U3353_S2,2024-01-02 23:23:46,add_to_cart,P0064,Mobile,Social,Canada
8396,U8396_S3,2024-01-03 03:44:33,add_to_cart,P0091,Mobile,Email,Germany
3313,U3313_S4,2024-01-03 05:23:09,checkout,P0001,Tablet,Social,United Kingdom
8385,U8385_S1,2024-01-03 08:12:15,signup,,Desktop,Paid Search,Australia
1964,U1964_S1,2024-01-03 08:35:49,signup,,Mobile,Paid Search,Canada
4627,U4627_S1,2024-01-03 08:36:51,signup,,Mobile,Referral,Canada
6141,U6141_S1,2024-01-03 08:38:04,signup,,Desktop,Email,United Kingdom
2132,U2132_S1,2024-01-03 08:47:46,signup,,Desktop,Social,United States
7849,U7849_S2,2024-01-03 09:03:35,product_view,P0041,Tablet,Referral,United Kingdom
1157,U1157_S4,2024-01-03 09:35:36,product_view,P0106,Mobile,Referral,United States
1526,U1526_S1,2024-01-03 09:53:54,signup,,Mobile,Social,France
4078,U4078_S2,2024-01-03 10:12:49,product_view,P0002,Mobile,Organic Search,Canada
7245,U7245_S1,2024-01-03 10:14:07,signup,,Mobile,Social,United Kingdom
8103,U8103_S1,2024-01-03 10:18:30,signup,,Desktop,Paid Search,Germany
2886,U2886_S1,2024-01-03 10:31:32,signup,,Mobile,Organic Search,Germany
7369,U7369_S1,2024-01-03 10:53:18,signup,,Desktop,Paid Search,France
4497,U4497_S2,2024-01-03 10:58:45,product_view,P0011,Mobile,Social,Canada
4318,U4318_S2,2024-01-03 13:32:31,product_view,P0082,Mobile,Email,Australia
1157,U1157_S5,2024-01-03 13:43:36,product_view,P0088,Mobile,Referral,United States
3313,U3313_S5,2024-01-03 13:54:09,product_view,P0025,Tablet,Social,United Kingdom
1178,U1178_S2,2024-01-03 14:22:49,product_view,P0060,Tablet,Email,France
2330,U2330_S1,2024-01-03 14:24:20,signup,,Mobile,Organic Search,Australia
7366,U7366_S1,2024-01-03 14:32:02,signup,,Tablet,Social,Germany
2572,U2572_S1,2024-01-03 15:00:35,signup,,Mobile,Paid Search,United States
4916,U4916_S1,2024-01-03 15:22:03,signup,,Tablet,Organic Search,France
6991,U6991_S1,2024-01-03 15:28:24,signup,,Desktop,Social,United Kingdom
952,U952_S2,2024-01-03 15:31:42,add_to_cart,P0079,Tablet,Social,France
8359,U8359_S2,2024-01-03 15:46:52,product_view,P0108,Mobile,Organic Search,Germany
7324,U7324_S2,2024-01-03 16:54:22,product_view,P0032,Mobile,Email,United States
3927,U3927_S1,2024-01-03 17:05:55,signup,,Desktop,Paid Search,United Kingdom
7369,U7369_S2,2024-01-03 17:14:18,product_view,P0103,Desktop,Paid Search,France
60,U60_S2,2024-01-03 17:36:09,add_to_cart,P0111,Desktop,Paid Search,France
8359,U8359_S3,2024-01-03 17:47:52,add_to_cart,P0110,Mobile,Organic Search,Germany
6493,U6493_S3,2024-01-03 17:59:09,add_to_cart,P0083,Desktop,Organic Search,Australia
2011,U2011_S1,2024-01-03 19:06:41,signup,,Mobile,Organic Search,Australia
2695,U2695_S1,2024-01-03 19:21:52,signup,,Desktop,Email,Australia
1621,U1621_S1,2024-01-03 20:04:28,signup,,Mobile,Email,Germany
243,U243_S1,2024-01-03 20:05:52,signup,,Mobile,Email,Australia
4220,U4220_S3,2024-01-03 20:29:34,add_to_cart,P0107,Mobile,Referral,France
4143,U4143_S1,2024-01-03 20:43:14,signup,,Mobile,Organic Search,Canada
7245,U7245_S2,2024-01-03 20:47:07,product_view,P0047,Mobile,Social,United Kingdom
3670,U3670_S1,2024-01-03 21:26:11,signup,,Mobile,Referral,Australia
2607,U2607_S1,2024-01-03 21:33:59,signup,,Desktop,Email,Germany
2528,U2528_S1,2024-01-03 21:37:06,signup,,Desktop,Paid Search,France
6539,U6539_S2,2024-01-04 00:28:38,product_view,P0082,Tablet,Organic Search,Australia
2607,U2607_S2,2024-01-04 00:34:59,product_view,P0049,Desktop,Email,Germany
6141,U6141_S2,2024-01-04 01:03:04,product_view,P0023,Desktop,Email,United Kingdom
7222,U7222_S4,2024-01-04 03:01:10,purchase,P0097,Desktop,Social,United Kingdom
6787,U6787_S3,2024-01-04 03:03:13,checkout,P0016,Desktop,Paid Search,Germany
7369,U7369_S3,2024-01-04 05:38:18,product_view,P0014,Desktop,Paid Search,France
6749,U6749_S2,2024-01-04 06:09:51,product_view,P0006,Tablet,Organic Search,Canada
60,U60_S3,2024-01-04 06:26:09,checkout,P0101,Desktop,Paid Search,France
2793,U2793_S2,2024-01-04 06:52:25,product_view,P0082,Tablet,Paid Search,Canada
4510,U4510_S2,2024-01-04 07:41:31,product_view,P0088,Tablet,Email,Australia
2867,U2867_S1,2024-01-04 08:01:25,signup,,Mobile,Email,United Kingdom
8420,U8420_S2,2024-01-04 08:06:02,product_view,P0008,Tablet,Social,Germany
1739,U1739_S1,2024-01-04 08:07:26,signup,,Desktop,Paid Search,France
5368,U5368_S1,2024-01-04 08:13:16,signup,,Mobile,Referral,Germany
3844,U3844_S2,2024-01-04 08:34:31,product_view,P0009,Mobile,Email,Canada
2572,U2572_S2,2024-01-04 09:27:35,product_view,P0078,Mobile,Paid Search,United States
2011,U2011_S2,2024-01-04 10:30:41,product_view,P0112,Mobile,Organic Search,Australia
4496,U4496_S2,2024-01-04 10:35:26,product_view,P0018,Tablet,Email,United States
1639,U1639_S1,2024-01-04 10:39:20,signup,,Desktop,Organic Search,France
333,U333_S1,2024-01-04 10:59:05,signup,,Desktop,Organic Search,United States
6787,U6787_S4,2024-01-04 12:41:13,product_view,P0062,Desktop,Paid Search,Germany
4854,U4854_S2,2024-01-04 12:54:32,product_view,P0036,Tablet,Referral,United States
1821,U1821_S1,2024-01-04 13:14:34,signup,,Mobile,Email,France
1873,U1873_S1,2024-01-04 13:30:45,signup,,Desktop,Paid Search,Canada
7,U7_S2,2024-01-04 13:54:46,product_view,P0014,Desktop,Paid Search,Germany
6787,U6787_S5,2024-01-04 14:16:13,product_view,P0075,Desktop,Paid Search,Germany
1265,U1265_S1,2024-01-04 15:30:17,signup,,Tablet,Email,Australia
1863,U1863_S2,2024-01-04 16:04:58,purchase,P0047,Mobile,Referral,United States
4496,U4496_S3,2024-01-04 16:26:26,checkout,P0039,Tablet,Email,United States
1233,U1233_S1,2024-01-04 16:27:52,signup,,Desktop,Organic Search,Germany
4083,U4083_S1,2024-01-04 17:04:51,signup,,Mobile,Referral,Australia
4042,U4042_S1,2024-01-04 17:13:48,signup,,Desktop,Social,United Kingdom
3670,U3670_S2,2024-01-04 17:15:11,product_view,P0035,Mobile,Referral,Australia
7346,U7346_S1,2024-01-04 17:26:18,signup,,Tablet,Email,Canada
2572,U2572_S3,2024-01-04 17:45:35,product_view,P0060,Mobile,Paid Search,United States
6595,U6595_S1,2024-01-04 17:50:19,signup,,Tablet,Social,Australia
4721,U4721_S1,2024-01-04 18:37:42,signup,,Desktop,Organic Search,Canada
479,U479_S1,2024-01-04 18:37:50,signup,,Mobile,Organic Search,United Kingdom
898,U898_S1,2024-01-04 18:54:32,signup,,Desktop,Paid Search,United States
4342,U4342_S1,2024-01-04 19:09:20,signup,,Tablet,Paid Search,Germany
2008,U2008_S3,2024-01-04 19:14:43,checkout,P0001,Tablet,Referral,France
3979,U3979_S1,2024-01-04 19:23:14,signup,,Desktop,Social,United Kingdom
4627,U4627_S2,2024-01-04 19:34:51,product_view,P0068,Mobile,Referral,Canada
5497,U5497_S1,2024-01-04 19:37:46,signup,,Tablet,Organic Search,Canada
5630,U5630_S1,2024-01-04 19:49:52,signup,,Desktop,Organic Search,France
2867,U2867_S2,2024-01-04 20:24:25,product_view,P0068,Mobile,Email,United Kingdom
3357,U3357_S1,2024-01-04 20:43:48,signup,,Tablet,Social,Germany
2886,U2886_S2,2024-01-04 20:50:32,product_view,P0059,Mobile,Organic Search,Germany
2,U2_S1,2024-01-04 20:51:10,signup,,Desktop,Referral,United Kingdom
4130,U4130_S1,2024-01-04 20:56:52,signup,,Mobile,Paid Search,Australia
2493,U2493_S2,2024-01-04 21:21:20,product_view,P0098,Mobile,Social,Canada
4854,U4854_S3,2024-01-05 01:38:32,add_to_cart,P0078,Tablet,Referral,United States
1526,U1526_S2,2024-01-05 01:40:54,product_view,P0031,Mobile,Social,France
8385,U8385_S2,2024-01-05 04:29:15,product_view,P0083,Desktop,Paid Search,Australia
6141,U6141_S3,2024-01-05 06:03:04,add_to_cart,P0012,Desktop,Email,United Kingdom
3927,U3927_S2,2024-01-05 06:11:55,product_view,P0013,Desktop,Paid Search,United Kingdom
2572,U2572_S4,2024-01-05 06:25:35,product_view,P0097,Mobile,Paid Search,United States
2801,U2801_S2,2024-01-05 06:37:14,product_view,P0010,Tablet,Referral,France
4318,U4318_S3,2024-01-05 07:26:31,add_to_cart,P0024,Mobile,Email,Australia
479,U479_S2,2024-01-05 08:15:50,add_to_cart,P0067,Mobile,Organic Search,United Kingdom
6852,U6852_S3,2024-01-05 08:23:25,add_to_cart,P0098,Mobile,Referral,Australia
2862,U2862_S1,2024-01-05 08:37:39,signup,,Tablet,Social,France
6968,U6968_S2,2024-01-05 09:00:51,product_view,P0057,Tablet,Email,United Kingdom
7346,U7346_S2,2024-01-05 09:18:18,product_view,P0116,Tablet,Email,Canada
4854,U4854_S4,2024-01-05 09:32:32,checkout,P0017,Tablet,Referral,United States
7027,U7027_S2,2024-01-05 09:53:26,product_view,P0069,Mobile,Organic Search,United Kingdom
5397,U5397_S2,2024-01-05 09:55:56,checkout,P0099,Tablet,Referral,United Kingdom
7139,U7139_S1,2024-01-05 10:06:48,signup,,Desktop,Paid Search,United Kingdom
253,U253_S1,2024-01-05 10:26:31,signup,,Tablet,Paid Search,Germany
701,U701_S1,2024-01-05 10:33:09,signup,,Mobile,Paid Search,France
3875,U3875_S1,2024-01-05 11:29:27,signup,,Mobile,Organic Search,Canada
1449,U1449_S1,2024-01-05 11:34:36,signup,,Desktop,Paid Search,Germany
2793,U2793_S3,2024-01-05 11:41:25,add_to_cart,P0068,Tablet,Paid Search,Canada
111,U111_S1,2024-01-05 12:36:38,signup,,Tablet,Social,United States
6968,U6968_S3,2024-01-05 12:46:51,add_to_cart,P0080,Tablet,Email,United Kingdom
2144,U2144_S1,2024-01-05 13:10:39,signup,,Tablet,Social,Germany
815,U815_S1,2024-01-05 13:54:10,signup,,Tablet,Paid Search,Canada
1014,U1014_S1,2024-01-05 14:18:43,signup,,Mobile,Organic Search,United States
4993,U4993_S1,2024-01-05 14:39:42,signup,,Mobile,Organic Search,United Kingdom
7789,U7789_S1,2024-01-05 14:42:38,signup,,Desktop,Email,Germany
8385,U8385_S3,2024-01-05 14:49:15,product_view,P0066,Desktop,Paid Search,Australia
3943,U3943_S2,2024-01-05 15:04:51,product_view,P0035,Tablet,Referral,United Kingdom
4916,U4916_S2,2024-01-05 15:36:03,product_view,P0013,Tablet,Organic Search,France
4510,U4510_S3,2024-01-05 15:36:31,add_to_cart,P0056,Tablet,Email,Australia
4854,U4854_S5,2024-01-05 15:50:32,purchase,P0073,Tablet,Referral,United States
2309,U2309_S1,2024-01-05 15:51:06,signup,,Desktop,Organic Search,Australia
5947,U5947_S1,2024-01-05 15:53:03,signup,,Desktop,Organic Search,Germany
1096,U1096_S2,2024-01-05 15:55:22,purchase,P0013,Tablet,Paid Search,Australia
1369,U1369_S1,2024-01-05 16:18:43,signup,,Desktop,Paid Search,United Kingdom
5489,U5489_S1,2024-01-05 16:21:12,signup,,Mobile,Social,Australia
6493,U6493_S4,2024-01-05 16:32:09,checkout,P0101,Desktop,Organic Search,Australia
8264,U8264_S1,2024-01-05 16:41:52,signup,,Tablet,Paid Search,United Kingdom
4748,U4748_S1,2024-01-05 16:45:56,signup,,Mobile,Referral,Australia
2011,U2011_S3,2024-01-05 16:48:41,add_to_cart,P0109,Mobile,Organic Search,Australia
6934,U6934_S1,2024-01-05 16:57:20,signup,,Desktop,Email,Canada
2695,U2695_S2,2024-01-05 16:57:52,product_view,P0052,Desktop,Email,Australia
1141,U1141_S1,2024-01-05 17:00:39,signup,,Desktop,Organic Search,Canada
479,U479_S3,2024-01-05 17:03:50,product_view,P0044,Mobile,Organic Search,United Kingdom
4078,U4078_S3,2024-01-05 17:11:49,add_to_cart,P0031,Mobile,Organic Search,Canada
5850,U5850_S1,2024-01-05 17:12:26,signup,,Mobile,Referral,Canada
5200,U5200_S1,2024-01-05 17:17:05,signup,,Desktop,Referral,Australia
1621,U1621_S2,2024-01-05 17:34:28,product_view,P0041,Mobile,Email,Germany
1269,U1269_S1,2024-01-05 17:34:37,signup,,Tablet,Email,United Kingdom
3200,U3200_S2,2024-01-05 18:14:42,product_view,P0005,Mobile,Referral,Australia
5397,U5397_S3,2024-01-05 18:28:56,product_view,P0020,Tablet,Referral,United Kingdom
4150,U4150_S1,2024-01-05 18:50:14,signup,,Tablet,Social,United Kingdom
4123,U4123_S1,2024-01-05 19:00:55,signup,,Desktop,Email,United Kingdom
2782,U2782_S1,2024-01-05 19:09:46,signup,,Desktop,Organic Search,United States
130,U130_S1,2024-01-05 19:10:05,signup,,Desktop,Organic Search,Australia
7,U7_S3,2024-01-05 19:17:46,checkout,P0098,Desktop,Paid Search,Germany
155,U155_S1,2024-01-05 19:21:52,signup,,Tablet,Email,United States
3612,U3612_S1,2024-01-05 19:23:13,signup,,Mobile,Referral,Australia
6934,U6934_S2,2024-01-05 19:38:20,product_view,P0061,Desktop,Email,Canada
8241,U8241_S1,2024-01-05 20:41:20,signup,,Mobile,Email,United Kingdom
5326,U5326_S1,2024-01-05 20:42:10,signup,,Tablet,Referral,Australia
4854,U4854_S6,2024-01-05 21:02:32,product_view,P0119,Tablet,Referral,United States
7570,U7570_S1,2024-01-05 21:35:32,signup,,Tablet,Organic Search,Canada
8396,U8396_S4,2024-01-05 21:53:33,checkout,P0039,Mobile,Email,Germany
8264,U8264_S2,2024-01-05 21:59:52,product_view,P0048,Tablet,Paid Search,United Kingdom
989,U989_S2,2024-01-05 22:28:44,product_view,P0015,Mobile,Paid Search,Canada
4220,U4220_S4,2024-01-05 22:30:34,checkout,P0071,Mobile,Referral,France
2330,U2330_S2,2024-01-05 23:18:20,product_view,P0092,Mobile,Organic Search,Australia
2330,U2330_S3,2024-01-06 00:35:20,purchase,P0056,Mobile,Organic Search,Australia
6493,U6493_S5,2024-01-06 00:38:09,product_view,P0105,Desktop,Organic Search,Australia
6991,U6991_S2,2024-01-06 01:06:24,product_view,P0027,Desktop,Social,United Kingdom
4342,U4342_S2,2024-01-06 01:53:20,product_view,P0022,Tablet,Paid Search,Germany
5397,U5397_S4,2024-01-06 02:00:56,product_view,P0111,Tablet,Referral,United Kingdom
6141,U6141_S4,2024-01-06 02:44:04,purchase,P0036,Desktop,Email,United Kingdom
3927,U3927_S3,2024-01-06 03:01:55,add_to_cart,P0042,Desktop,Paid Search,United Kingdom
8396,U8396_S5,2024-01-06 03:13:33,product_view,P0079,Mobile,Email,Germany
1964,U1964_S2,2024-01-06 03:42:49,product_view,P0048,Mobile,Paid Search,Canada
7366,U7366_S2,2024-01-06 04:10:02,add_to_cart,P0099,Tablet,Social,Germany
5497,U5497_S2,2024-01-06 04:20:46,product_view,P0058,Tablet,Organic Search,Canada
8103,U8103_S2,2024-01-06 04:40:30,product_view,P0094,Desktop,Paid Search,Germany
6986,U6986_S2,2024-01-06 04:56:16,product_view,P0093,Desktop,Organic Search,United Kingdom
4123,U4123_S2,2024-01-06 05:15:55,product_view,P0058,Desktop,Email,United Kingdom
5368,U5368_S2,2024-01-06 05:23:16,product_view,P0048,Mobile,Referral,Germany
4318,U4318_S4,2024-01-06 05:28:31,purchase,P0028,Mobile,Email,Australia
3943,U3943_S3,2024-01-06 06:01:51,checkout,P0059,Tablet,Referral,United Kingdom
1233,U1233_S2,2024-01-06 06:04:52,add_to_cart,P0038,Desktop,Organic Search,Germany
8396,U8396_S6,2024-01-06 06:33:33,product_view,P0034,Mobile,Email,Germany
7789,U7789_S2,2024-01-06 06:54:38,add_to_cart,P0060,Desktop,Email,Germany
2528,U2528_S2,2024-01-06 07:08:06,product_view,P0073,Desktop,Paid Search,France
4318,U4318_S5,2024-01-06 07:21:31,product_view,P0012,Mobile,Email,Australia
815,U815_S2,2024-01-06 07:26:10,product_view,P0115,Tablet,Paid Search,Canada
60,U60_S4,2024-01-06 07:37:09,purchase,P0034,Desktop,Paid Search,France
1921,U1921_S3,2024-01-06 08:34:40,add_to_cart,P0018,Mobile,Social,Germany
6991,U6991_S3,2024-01-06 08:43:24,add_to_cart,P0022,Desktop,Social,United Kingdom
5850,U5850_S2,2024-01-06 08:46:26,product_view,P0110,Mobile,Referral,Canada
1449,U1449_S2,2024-01-06 09:18:36,product_view,P0062,Desktop,Paid Search,Germany
4318,U4318_S6,2024-01-06 09:24:31,product_view,P0072,Mobile,Email,Australia
4740,U4740_S1,2024-01-06 09:42:02,signup,,Tablet,Referral,Germany
4220,U4220_S5,2024-01-06 09:52:34,product_view,P0017,Mobile,Referral,France
2749,U2749_S3,2024-01-06 10:41:33,add_to_cart,P0113,Desktop,Referral,Germany
4103,U4103_S1,2024-01-06 10:55:45,signup,,Desktop,Social,France
1920,U1920_S1,2024-01-06 11:42:08,signup,,Tablet,Referral,Germany
3018,U3018_S1,2024-01-06 11:51:53,signup,,Tablet,Paid Search,United States
3286,U3286_S1,2024-01-06 12:00:41,signup,,Desktop,Social,United Kingdom
6852,U6852_S4,2024-01-06 12:57:25,checkout,P0075,Mobile,Referral,Australia
6212,U6212_S1,2024-01-06 12:59:02,signup,,Tablet,Email,United Kingdom
4345,U4345_S1,2024-01-06 13:05:47,signup,,Desktop,Paid Search,Australia
6141,U6141_S5,2024-01-06 13:08:04,product_view,P0063,Desktop,Email,United Kingdom
8398,U8398_S1,2024-01-06 13:18:50,signup,,Mobile,Organic Search,Canada
952,U952_S3,2024-01-06 13:24:42,purchase,P0077,Tablet,Social,France
3353,U3353_S3,2024-01-06 13:56:46,checkout,P0061,Mobile,Social,Canada
3844,U3844_S3,2024-01-06 14:20:31,checkout,P0078,Mobile,Email,Canada
2265,U2265_S2,2024-01-06 14:27:36,product_view,P0103,Desktop,Paid Search,Australia
4221,U4221_S1,2024-01-06 14:34:37,signup,,Tablet,Referral,Germany
3927,U3927_S4,2024-01-06 14:37:55,product_view,P0079,Desktop,Paid Search,United Kingdom
737,U737_S1,2024-01-06 14:52:26,signup,,Desktop,Email,Australia
4930,U4930_S1,2024-01-06 15:19:17,signup,,Desktop,Referral,France
7,U7_S4,2024-01-06 15:37:46,purchase,P0063,Desktop,Paid Search,Germany
7789,U7789_S3,2024-01-06 15:45:38,product_view,P0087,Desktop,Email,Germany
2986,U2986_S1,2024-01-06 16:17:24,signup,,Tablet,Referral,Australia
2867,U2867_S3,2024-01-06 16:21:25,checkout,P0085,Mobile,Email,United Kingdom
989,U989_S3,2024-01-06 16:21:44,add_to_cart,P0081,Mobile,Paid Search,Canada
5269,U5269_S1,2024-01-06 16:44:25,signup,,Mobile,Paid Search,United Kingdom
544,U544_S1,2024-01-06 16:50:57,signup,,Tablet,Referral,Germany
7781,U7781_S1,2024-01-06 17:31:41,signup,,Tablet,Social,United States
6144,U6144_S1,2024-01-06 17:32:45,signup,,Desktop,Paid Search,Canada
8285,U8285_S1,2024-01-06 17:51:17,signup,,Tablet,Organic Search,Germany
7027,U7027_S3,2024-01-06 17:52:26,add_to_cart,P0027,Mobile,Organic Search,United Kingdom
6229,U6229_S1,2024-01-06 17:57:03,signup,,Desktop,Referral,United States
2265,U2265_S3,2024-01-06 17:58:36,product_view,P0027,Desktop,Paid Search,Australia
3122,U3122_S1,2024-01-06 18:01:00,signup,,Mobile,Referral,Canada
2607,U2607_S3,2024-01-06 18:30:59,checkout,P0080,Desktop,Email,Germany
1178,U1178_S3,2024-01-06 18:49:49,add_to_cart,P0004,Tablet,Email,France
6539,U6539_S3,2024-01-06 19:09:38,add_to_cart,P0095,Tablet,Organic Search,Australia
4930,U4930_S2,2024-01-06 19:58:17,product_view,P0023,Desktop,Referral,France
1215,U1215_S1,2024-01-06 20:00:38,signup,,Tablet,Paid Search,France
6335,U6335_S1,2024-01-06 20:08:37,signup,,Tablet,Email,United Kingdom
3037,U3037_S3,2024-01-06 20:19:05,add_to_cart,P0079,Mobile,Social,Australia
1873,U1873_S2,2024-01-06 20:59:45,product_view,P0090,Desktop,Paid Search,Canada
2886,U2886_S3,2024-01-06 21:01:32,purchase,P0030,Mobile,Organic Search,Germany
2132,U2132_S2,2024-01-06 21:13:46,product_view,P0006,Desktop,Social,United States
952,U952_S4,2024-01-06 21:14:42,product_view,P0078,Tablet,Social,France
3844,U3844_S4,2024-01-06 21:26:31,product_view,P0019,Mobile,Email,Canada
6335,U6335_S2,2024-01-06 21:33:37,product_view,P0078,Tablet,Email,United Kingdom
1449,U1449_S3,2024-01-06 21:50:36,product_view,P0076,Desktop,Paid Search,Germany
6852,U6852_S5,2024-01-06 22:12:25,product_view,P0008,Mobile,Referral,Australia
2607,U2607_S4,2024-01-06 22:15:59,product_view,P0040,Desktop,Email,Germany
7245,U7245_S3,2024-01-06 22:26:07,add_to_cart,P0089,Mobile,Social,United Kingdom
7849,U7849_S3,2024-01-06 23:08:35,add_to_cart,P0061,Tablet,Referral,United Kingdom
243,U243_S2,2024-01-06 23:09:52,product_view,P0034,Mobile,Email,Australia
7366,U7366_S3,2024-01-06 23:15:02,checkout,P0083,Tablet,Social,Germany
6539,U6539_S4,2024-01-06 23:16:38,product_view,P0051,Tablet,Organic Search,Australia
4130,U4130_S2,2024-01-06 23:43:52,product_view,P0035,Mobile,Paid Search,Australia
2132,U2132_S3,2024-01-06 23:59:46,add_to_cart,P0055,Desktop,Social,United States
6991,U6991_S4,2024-01-07 00:06:24,checkout,P0098,Desktop,Social,United Kingdom
989,U989_S4,2024-01-07 01:06:44,product_view,P0050,Mobile,Paid Search,Canada
1369,U1369_S2,2024-01-07 01:29:43,product_view,P0028,Desktop,Paid Search,United Kingdom
333,U333_S2,2024-01-07 01:43:05,product_view,P0104,Desktop,Organic Search,United States
1265,U1265_S2,2024-01-07 02:00:17,product_view,P0093,Tablet,Email,Australia
2011,U2011_S4,2024-01-07 02:01:41,checkout,P0101,Mobile,Organic Search,Australia
2607,U2607_S5,2024-01-07 02:02:59,product_view,P0048,Desktop,Email,Germany
2265,U2265_S4,2024-01-07 02:35:36,product_view,P0045,Desktop,Paid Search,Australia
1821,U1821_S2,2024-01-07 02:51:34,product_view,P0025,Mobile,Email,France
